,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
303,734,IN RJN,LSPL SEZ/Rajnandgaon,LSPL SEZ/Rajnandgaon,CH,--3--6--,AA,1307.0,2110N 08100E,21.1,81.0
304,735,IN TLT,LTSL SEZ/Tiruvallur,LTSL SEZ/Tiruvallur,TN,--3--6--,AA,1207.0,1309N 07955E,13.09,79.55
305,738,IN MCC,Machhiwara,Machhiwara,PB,--3-----,RL,1301.0,3054N 07611E,30.54,76.11
306,739,IN MGJ,Madanganj,Madanganj,RJ,--3-----,RL,1207.0,2635N 07452E,26.35,74.52
307,740,IN KRM,MADCL SEZ/Nagpur,MADCL SEZ/Nagpur,MH,--3--6--,AA,1207.0,2109N 07906E,21.09,79.06
308,742,IN MSH,Madho Singhana,Madho Singhana,HR,--3-----,RL,1407.0,2927N 07455E,29.27,74.55
309,745,IN IXM,Madurai,Madurai,TN,1-34-6--,AI,701.0,0956N 07807E,9.56,78.07
310,746,IN MDT,Maduranthakam,Maduranthakam,TN,--3-----,AA,1601.0,1230N 07953E,12.3,79.53
311,747,IN MAG,Magadi,Magadi,KA,-23-----,RQ,1901.0,1258N 07714E,12.58,77.14
312,749,IN HAD,Mahad,Mahad,MH,--3-----,RL,901.0,1805N 07325E,18.05,73.25
313,750,IN MAJ,Maharajganj,Maharajganj,UP,--3-----,RL,1201.0,2622N 08117E,26.22,81.17
314,751,IN MHB,Mahbubnagar,Mahbubnagar,AP,--3-----,RL,1401.0,1644N 07759E,16.44,77.59
315,752,IN MAH,Mahe,Mahe,PY,123-----,AA,501.0,1142N 07532E,11.42,75.32
316,754,IN MSA,Mahesana,Mahesana,GJ,--3-----,RL,901.0,2336N 07224E,23.36,72.24
317,758,IN MPI,Mainpuri,Mainpuri,UP,--3-----,RL,1201.0,2714N 07901E,27.14,79.01
318,759,IN MKN,Makrana,Makrana,RJ,--3-----,RL,1301.0,2703N 07443E,27.03,74.43
319,760,IN MPR,Malanpur,Malanpur,MP,--3--6--,AA,501.0,2625N 07820E,26.25,78.2
320,763,IN MWA,Maliwada,Maliwada,MH,-23-----,RL,701.0,1955N 07513E,19.55,75.13
321,764,IN MLY,Maliya,Maliya,GJ,-23-----,AM,2107.0,2305N 07046E,23.05,70.46
322,767,IN MLR,Malur,Malur,KA,--3-----,RL,1301.0,1300N 07756E,13.0,77.56
323,769,IN MNI,Manali,Manali,HP,--3-----,AA,1707.0,3216N 07710E,32.16,77.1
324,770,IN MNT,Manalithara,Manalithara,KL,--3-----,AA,1601.0,1038N 07617E,10.38,76.17
325,771,IN MKK,Manapakkam,Manapakkam,TN,--3-----,AA,1607.0,1301N 08017E,13.01,80.17
326,773,IN MNP,Mandideep,Mandideep,MP,--3-----,RL,901.0,2304N 07713E,23.04,77.13
327,774,IN MAN,Mandsaur,Mandsaur,MP,--3-----,RL,1201.0,2404N 07504E,24.04,75.04
328,775,IN MDV,Måndvi,Mandvi,GJ,1-3-----,AA,307.0,2250N 06922E,22.5,69.22
329,785,IN MRM,Marmagao (Marmugao),Marmagao (Marmugao),GA,123-----,AA,207.0,1524N 07347E,15.24,73.47
330,786,IN MRM,Marmugao (Marmagao),Marmugao (Marmagao),GA,123-----,AA,207.0,1524N 07347E,15.24,73.47
331,791,IN MAU,Mau,Mau,UP,--3-----,RL,1201.0,2558N 08333E,25.58,83.33
332,792,IN MAV,Mavalli,Mavalli,KA,--3-----,AA,1601.0,1257N 07735E,12.57,77.35
333,794,IN MYD,Mayiladuthurai,Mayiladuthurai,TN,--3-----,RL,2001.0,1105N 07938E,11.05,79.38
334,795,IN MYN,Mayurbhanj,Mayurbhanj,OR,--3-----,RL,1201.0,2155N 08644E,21.55,86.44
335,797,IN MED,Medinipur,Medinipur,WB,--3-----,RL,901.0,2226N 08720E,22.26,87.2
336,799,IN MBZ,Metia Bruz,Metia Bruz,WB,--3-----,RL,1401.0,2233N 08818E,22.33,88.18
337,800,IN MTT,Mettupalayam,Mettupalayam,TN,--3-----,RL,1201.0,1118N 07656E,11.18,76.56
338,801,IN MTR,Mettur,Mettur,TN,--3-----,RL,1301.0,1148N 07748E,11.48,77.48
339,804,IN MRJ,Miraj,Miraj,MH,--3-----,AA,501.0,1650N 07438E,16.5,74.38
340,809,IN MOG,Moga,Moga,PB,--3-----,RL,1201.0,3048N 07510E,30.48,75.1
341,813,IN MOR,Moradabad,Moradabad,UP,-23--6--,AA,501.0,2850N 07847E,28.5,78.47
342,814,IN MOB,Morbi,Morbi,GJ,1-3-----,RL,701.0,2249N 07050E,22.49,70.5
343,816,IN MOE,Morena,Morena,MP,--3-----,RL,1201.0,2629N 07800E,26.29,78.0
344,817,IN MAR,Morigaon,Morigaon,AS,--3-----,RL,1201.0,2615N 09220E,26.15,92.2
345,819,IN PMT,MTDCCL SEZ/Pune,MTDCCL SEZ/Pune,MH,--3--6--,AA,1207.0,1832N 07352E,18.32,73.52
346,820,IN MHP,Muhammadpur,Muhammadpur,HR,--3-----,RL,1401.0,2927N 07656E,29.27,76.56
347,822,IN MUL,Mulgund,Mulgund,KA,--3--6--,AA,607.0,1515N 07532E,15.15,75.32
348,827,IN BOM,Mumbai (ex Bombay),Mumbai (ex Bombay),MH,123456--,AA,501.0,1858N 07249E,18.58,72.49
349,831,IN MUG,Munger,Munger,BR,123-----,RL,601.0,2523N 08628E,25.23,86.28
